bbl,address1,address2,zip,status1,status2,status3
2023820037,407 E 160TH ST,,10451,MULTIPLE DWELLING A,421-A,
2023820039,453 E 160TH ST,,10451,MULTIPLE DWELLING A,,
2023810051,462-464 E 160TH ST,,10451,MULTIPLE DWELLING A,,
2024600030,181 E 161ST ST,,10451,MULTIPLE DWELLING A,,
2024080001,361-381 E 161ST ST,370 E 162ND ST,10451,MULTIPLE DWELLING A,,
2024070016,384-386 E 161ST ST,,10451,MULTIPLE DWELLING A,,
2023827502,406 E 161ST ST,,10451,MULTIPLE DWELLING A,,
2023820014,422 E 161ST ST,,10451,MULTIPLE DWELLING A,,
2023650020,500 E 161ST ST,,10451,MULTIPLE DWELLING A,,
2023660022,501 E 161ST ST,,10451,MULTIPLE DWELLING A,,
2023667501,505 E 161ST ST,508 E 162ND ST,10451,MULTIPLE DWELLING A,,
2023660037,507 E 161ST ST,,10451,MULTIPLE DWELLING A,,
2024600010,180 E 162ND ST,,10451,MULTIPLE DWELLING A,,
2024610040,185 E 162ND ST,,10451,MULTIPLE DWELLING A,J-51,
2024220054,287 E 162ND ST,,10451,MULTIPLE DWELLING A,,
2024220050,295 E 162ND ST,,10451,MULTIPLE DWELLING A,,
2024220048,299 E 162ND ST,,10451,MULTIPLE DWELLING A,,
2024210022,300 E 162ND ST,,10451,MULTIPLE DWELLING A,,
2024210024,304 E 162ND ST,,10451,MULTIPLE DWELLING A,,
2024080033,369 E 162ND ST,,10451,MULTIPLE DWELLING A,,
2024080052,383 E 162ND ST,912 COURTLANDT AVE,10451,MULTIPLE DWELLING B,,
2024080017,388-390 E 162ND ST,897-911 MELROSE AVE,10451,MULTIPLE DWELLING A,,
2023830005,402 E 162ND ST,,10451,MULTIPLE DWELLING A,GARDEN COMPLEX,
2023830015,424 E 162ND ST,,10451,MULTIPLE DWELLING A,,
2023830016,426 E 162ND ST,,10451,MULTIPLE DWELLING A,GARDEN COMPLEX,
2023830018,430 E 162ND ST,,10451,MULTIPLE DWELLING B,,
2024610016,180 E 163RD ST,,10451,MULTIPLE DWELLING A,,
2024540026,214 E 163RD ST,,10451,MULTIPLE DWELLING A,,
2024460037,237 E 163RD ST,,10451,MULTIPLE DWELLING A,,
2024220010,272 E 163RD ST,926A MORRIS AVE,10451,MULTIPLE DWELLING A,,
2024220016,290 E 163RD ST,,10451,MULTIPLE DWELLING A,,
2024220026,312-320 E 163RD ST,,10451,MULTIPLE DWELLING A,,
2024230054,313 E 163RD ST,,10451,MULTIPLE DWELLING A,421-A,
2024230055,317 E 163RD ST,,10451,MULTIPLE DWELLING A,ROOMING HOUSE,421-A
2024230084,325 E 163RD ST,,10451,MULTIPLE DWELLING A,,
2024240086,351-359 E 163RD ST,,10451,MULTIPLE DWELLING B,,
2024240110,361-371 E 163RD ST,,10451,MULTIPLE DWELLING B,,
